Date;Day;Month;Year;Customer_Age;Age_Group;Customer_Gender;Country;State;Product_Category;Sub_Category;Product;Order_Quantity;Unit_Cost;Unit_Price;Profit;Cost;Revenue;Size;Color;Material;Warranty;Manufacturer;Rating;Shipping_Weight;Delivery_Time;Discount;Eco_Friendly;Shipping_Cost;Shipping_Company;Shipping_Type;Insurance;Return_Policy
26-11-2017;26;November;2017;19;Youth (<25);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;590;360;950;Extra Large;White;Plastic;1 Year;Manufacturer A;4;13.25;2;25;True;40.58;GLS;Standard;Basic;30 Days
26-11-2014;26;November;2014;19;Youth (<25);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;590;360;950;Extra Large;White;Steel;2 Years;Manufacturer A;5;4.56;4;1;True;95.32;Posti;Same Day;None;30 Days
23-03-2019;23;March;2019;49;Adults (35-64);M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;23;45;120;1366;1035;2401;Small;Green;Steel;1 Year;Manufacturer D;3;8.97;1;0;True;74.54;GLS;Express;Premium;7 Days
23-03-2015;23;March;2015;49;Adults (35-64);M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;20;45;120;1188;900;2088;Small;Red;Carbon Fiber;1 Year;Manufacturer A;5;2.56;1;10;False;61.87;DHL;Same Day;None;7 Days
15-05-2018;15;May;2018;47;Adults (35-64);F;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;238;180;418;Extra Large;Blue;Steel;3 Years;Manufacturer A;5;11.21;1;6;False;19.82;GLS;Same Day;Basic;30 Days
15-05-2023;15;May;2023;47;Adults (35-64);F;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;297;225;522;Large;Green;Carbon Fiber;3 Years;Manufacturer A;2;8.33;9;27;True;19.82;DHL;Next Day;Basic;60 Days
22-05-2015;22;May;2015;47;Adults (35-64);F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;199;180;379;Large;Green;Carbon Fiber;Lifetime;Manufacturer B;3;14.05;9;13;True;10.52;FedEx;Next Day;Basic;60 Days
22-05-2014;22;May;2014;47;Adults (35-64);F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;100;90;190;Small;Red;Carbon Fiber;3 Years;Manufacturer A;3;10.46;6;8;False;87.29;GLS;Express;Basic;30 Days
22-02-2021;22;February;2021;35;Adults (35-64);M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;22;45;120;1096;990;2086;Small;Blue;Plastic;1 Year;Manufacturer A;3;14.73;6;5;False;62.11;UPS;Standard;Premium;No Return
22-02-2023;22;February;2023;35;Adults (35-64);M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;21;45;120;1046;945;1991;Extra Large;Blue;Carbon Fiber;2 Years;Manufacturer B;5;12.28;6;9;False;72.27;UPS;Standard;None;No Return
30-07-2015;30;July;2015;32;Young Adults (25-34);F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;398;360;758;Extra Large;White;Steel;Lifetime;Manufacturer D;4;8.19;4;19;False;6.96;GLS;Standard;None;No Return
30-07-2019;30;July;2019;32;Young Adults (25-34);F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;398;360;758;Large;Black;Plastic;3 Years;Manufacturer B;3;3.76;9;17;True;97.14;GLS;Standard;None;7 Days
15-07-2021;15;July;2021;34;Young Adults (25-34);M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;349;315;664;Medium;Blue;Aluminum;3 Years;Manufacturer C;5;5.44;8;17;False;84.08;DHL;Standard;Basic;30 Days
15-07-2020;15;July;2020;34;Young Adults (25-34);M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;349;315;664;Medium;Black;Plastic;1 Year;Manufacturer A;2;5.94;9;12;True;25.17;UPS;Next Day;Basic;60 Days
02-08-2020;2;August;2020;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;369;225;594;Large;Red;Steel;2 Years;Manufacturer C;4;13.74;7;7;True;22.27;FedEx;Same Day;Basic;60 Days
02-08-2013;2;August;2013;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;517;315;832;Large;White;Steel;3 Years;Manufacturer B;2;4.23;2;7;False;22.42;FedEx;Next Day;None;7 Days
02-09-2014;2;September;2014;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;148;90;238;Large;Green;Plastic;2 Years;Manufacturer A;4;10.97;6;4;True;33.9;GLS;Same Day;None;30 Days
02-09-2022;2;September;2022;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;74;45;119;Extra Large;White;Aluminum;3 Years;Manufacturer D;5;9.03;8;0;False;54.85;DHL;Express;Basic;7 Days
22-01-2016;22;January;2016;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;74;45;119;Large;White;Carbon Fiber;3 Years;Manufacturer A;1;2.99;6;15;False;46.03;Posti;Express;Basic;60 Days
22-01-2016;22;January;2016;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;74;45;119;Extra Large;Black;Plastic;Lifetime;Manufacturer B;4;4.39;3;15;False;32.67;UPS;Next Day;Basic;7 Days
17-05-2015;17;May;2015;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;443;270;713;Small;Green;Carbon Fiber;1 Year;Manufacturer D;2;4.62;7;16;True;63.13;UPS;Next Day;None;30 Days
17-05-2014;17;May;2014;29;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;590;360;950;Small;Blue;Carbon Fiber;3 Years;Manufacturer C;5;3.1;4;18;True;18.25;FedEx;Same Day;Basic;30 Days
27-03-2015;27;March;2015;51;Adults (35-64);M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;524;405;929;Large;Red;Plastic;2 Years;Manufacturer C;4;11.88;6;14;False;32.75;FedEx;Same Day;None;60 Days
27-03-2020;27;March;2020;51;Adults (35-64);M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;407;315;722;Extra Large;Blue;Carbon Fiber;2 Years;Manufacturer C;1;5.04;6;8;True;39.8;FedEx;Next Day;Basic;7 Days
25-08-2023;25;August;2023;49;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;221;135;356;Large;Red;Plastic;1 Year;Manufacturer B;1;8.24;4;19;False;48.33;GLS;Express;Premium;60 Days
25-08-2015;25;August;2015;49;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;74;45;119;Large;White;Steel;1 Year;Manufacturer D;3;11.18;1;11;True;79.59;Posti;Express;Basic;No Return
26-12-2015;26;December;2015;49;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;443;270;713;Small;Red;Plastic;2 Years;Manufacturer D;3;14.55;5;18;True;23.97;Posti;Next Day;None;7 Days
26-12-2018;26;December;2018;49;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;369;225;594;Medium;Red;Carbon Fiber;2 Years;Manufacturer D;2;13.7;2;14;True;53.85;FedEx;Same Day;None;No Return
02-01-2023;2;January;2023;48;Adults (35-64);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;295;180;475;Large;Red;Carbon Fiber;2 Years;Manufacturer D;4;3.58;4;12;True;61.28;GLS;Next Day;Basic;30 Days
02-01-2014;2;January;2014;48;Adults (35-64);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;295;180;475;Medium;Green;Carbon Fiber;Lifetime;Manufacturer B;4;13.46;4;22;True;9.41;DHL;Same Day;Premium;60 Days
13-03-2021;13;March;2021;48;Adults (35-64);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;20;45;120;1476;900;2376;Small;Black;Plastic;3 Years;Manufacturer D;3;12.77;1;6;False;62.72;GLS;Standard;None;60 Days
13-03-2016;13;March;2016;48;Adults (35-64);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;22;45;120;1624;990;2614;Extra Large;Black;Aluminum;3 Years;Manufacturer B;4;0.93;7;16;False;21.2;UPS;Standard;Basic;60 Days
23-05-2013;23;May;2013;47;Adults (35-64);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;24;45;120;1771;1080;2851;Large;Black;Carbon Fiber;Lifetime;Manufacturer B;4;13.33;6;20;False;11.18;UPS;Standard;None;No Return
23-05-2021;23;May;2021;47;Adults (35-64);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;23;45;120;1697;1035;2732;Small;Blue;Plastic;3 Years;Manufacturer A;1;8.25;4;25;True;95.14;FedEx;Next Day;Premium;No Return
19-07-2013;19;July;2013;32;Young Adults (25-34);F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;524;405;929;Large;Green;Plastic;3 Years;Manufacturer D;3;3.28;1;6;False;96.74;Posti;Standard;None;30 Days
19-07-2017;19;July;2017;32;Young Adults (25-34);F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;524;405;929;Small;White;Plastic;3 Years;Manufacturer A;5;14.93;2;26;False;81.8;Posti;Express;None;60 Days
11-11-2023;11;November;2023;34;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;25;45;120;1845;1125;2970;Medium;Blue;Steel;1 Year;Manufacturer A;3;5.02;2;19;True;33.94;UPS;Same Day;None;No Return
11-11-2017;11;November;2017;34;Young Adults (25-34);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;23;45;120;1697;1035;2732;Small;White;Steel;3 Years;Manufacturer D;5;3.22;1;11;False;14.28;UPS;Same Day;Basic;30 Days
13-07-2019;13;July;2019;43;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;726;450;1176;Medium;Blue;Aluminum;1 Year;Manufacturer A;1;3.01;7;25;False;70.0;FedEx;Express;Basic;7 Days
13-07-2015;13;July;2015;43;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;726;450;1176;Large;Blue;Carbon Fiber;Lifetime;Manufacturer C;2;8.13;7;28;True;46.81;Posti;Standard;Premium;No Return
31-03-2019;31;March;2019;43;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;11;45;120;799;495;1294;Small;Black;Steel;Lifetime;Manufacturer A;4;3.03;9;7;True;16.59;UPS;Standard;None;30 Days
31-03-2019;31;March;2019;43;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;11;45;120;799;495;1294;Large;Red;Aluminum;2 Years;Manufacturer D;1;8.04;4;20;False;52.04;FedEx;Standard;Premium;No Return
28-08-2017;28;August;2017;61;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;581;360;941;Large;Green;Carbon Fiber;1 Year;Manufacturer C;4;11.19;9;28;False;8.27;DHL;Same Day;Basic;60 Days
28-08-2021;28;August;2021;61;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;726;450;1176;Small;Green;Carbon Fiber;1 Year;Manufacturer A;2;14.26;8;12;True;91.39;GLS;Next Day;None;7 Days
